Station_Prod,date_prod,Prod_Yield
Station1,2016-03-01,99
Station1,2016-03-02,98
Station1,2016-03-03,73
Station1,2016-03-04,56
Station1,2016-03-05,78
Station1,2016-03-06,99
Station1,2016-03-07,97
Station1,2016-03-08,95
Station1,2016-03-09,92
Station1,2016-03-10,94
Station1,2016-03-11,97
Station1,2016-03-12,98
Station1,2016-03-13,45
Station1,2016-03-14,78
Station1,2016-03-15,67
Station1,2016-03-16,78
Station2,2016-03-01,98
Station2,2016-03-02,98
Station2,2016-03-03,99
Station2,2016-03-04,100
Station2,2016-03-05,100
Station2,2016-03-06,100
Station2,2016-03-07,87
Station2,2016-03-08,89
Station2,2016-03-09,88
Station2,2016-03-10,73
Station2,2016-03-11,99
Station2,2016-03-12,99
Station2,2016-03-13,100
Station2,2016-03-14,98
Station2,2016-03-15,97
Station2,2016-03-16,83
Station3,2016-03-01,89
Station3,2016-03-02,89
Station3,2016-03-03,99
Station3,2016-03-04,99
Station3,2016-03-05,100
Station3,2016-03-06,100
Station3,2016-03-07,99
Station3,2016-03-08,97
Station3,2016-03-09,98
Station3,2016-03-10,96
Station3,2016-03-11,95
Station3,2016-03-12,94
Station3,2016-03-13,96
Station3,2016-03-14,98
Station3,2016-03-15,99
Station3,2016-03-16,78
