TIMESTAMP,REASON,VALUE,PART,HOURS
8/2/17,WAITING FOR DOWNSTREAM,2079,Shrink wrapper,0.5775
8/2/17,WAITING FOR UPSTREAM,1932,Shrink wrapper,0.536666667
8/2/17,WAITING FOR DOWNSTREAM,1124,Shrink wrapper,0.312222222
8/2/17,WAITING FOR DOWNSTREAM,1060,Shrink wrapper,0.294444444
8/2/17,GUARD DOOR 1 OPEN,1032,Shrink wrapper,0.286666667
8/2/17,WAITING FOR UPSTREAM,990,Shrink wrapper,0.275
8/2/17,WAITING FOR UPSTREAM,960,Shrink wrapper,0.266666667
8/2/17,WAITING FOR UPSTREAM,943,Shrink wrapper,0.261944444
8/2/17,WAITING FOR UPSTREAM,310,Shrink wrapper,0.086111111
8/2/17,WAITING FOR UPSTREAM,289,Shrink wrapper,0.080277778
8/2/17,WAITING FOR DOWNSTREAM,221,Shrink wrapper,0.061388889
8/2/17,WAITING FOR UPSTREAM,199,Shrink wrapper,0.055277778
8/2/17,WAITING FOR UPSTREAM,199,Shrink wrapper,0.055277778
8/2/17,WAITING FOR UPSTREAM,197,Shrink wrapper,0.054722222
8/2/17,WAITING FOR DOWNSTREAM,191,Shrink wrapper,0.053055556
8/2/17,WAITING FOR UPSTREAM,185,Shrink wrapper,0.051388889
8/2/17,WAITING FOR UPSTREAM,171,Shrink wrapper,0.0475
8/2/17,WAITING FOR UPSTREAM,166,Shrink wrapper,0.046111111
8/2/17,WAITING FOR UPSTREAM,146,Shrink wrapper,0.040555556
8/2/17,UPPER FILM ROLL EMPTY,144,Shrink wrapper,0.04
8/2/17,WAITING FOR DOWNSTREAM,139,Shrink wrapper,0.038611111
8/2/17,WRAPPER WAND SERVO FAULT,139,Shrink wrapper,0.038611111
8/2/17,WAITING FOR UPSTREAM,138,Shrink wrapper,0.038333333
8/2/17,WAITING FOR UPSTREAM,137,Shrink wrapper,0.038055556
8/2/17,WAITING FOR DOWNSTREAM,132,Shrink wrapper,0.036666667
8/2/17,WRAPPER WAND SERVO FAULT,132,Shrink wrapper,0.036666667
8/2/17,WAITING FOR UPSTREAM,131,Shrink wrapper,0.036388889
8/2/17,WAITING FOR UPSTREAM,126,Shrink wrapper,0.035
8/2/17,WAITING FOR UPSTREAM,124,Shrink wrapper,0.034444444
8/2/17,WAITING FOR DOWNSTREAM,122,Shrink wrapper,0.033888889
8/2/17,LOWER FILM ROLL EMPTY,122,Shrink wrapper,0.033888889
8/2/17,UPPER FILM ROLL EMPTY,115,Shrink wrapper,0.031944444
8/2/17,WAITING FOR UPSTREAM,114,Shrink wrapper,0.031666667
8/2/17,WAITING FOR UPSTREAM,113,Shrink wrapper,0.031388889
8/2/17,WAITING FOR UPSTREAM,108,Shrink wrapper,0.03
8/2/17,UPPER FILM ROLL EMPTY,106,Shrink wrapper,0.029444444
8/2/17,WAITING FOR UPSTREAM,105,Shrink wrapper,0.029166667
8/2/17,WAITING FOR UPSTREAM,103,Shrink wrapper,0.028611111
8/2/17,WAITING FOR UPSTREAM,102,Shrink wrapper,0.028333333
8/2/17,WAITING FOR DOWNSTREAM,98,Shrink wrapper,0.027222222
8/2/17,WRAPPER WAND SERVO FAULT,97,Shrink wrapper,0.026944444
8/2/17,LOWER FILM ROLL EMPTY,95,Shrink wrapper,0.026388889
8/2/17,WAITING FOR UPSTREAM,93,Shrink wrapper,0.025833333
8/2/17,LOWER FILM ROLL EMPTY,92,Shrink wrapper,0.025555556
