Date,Station,Scrap_Rate
2016-03-01,Line,10.02
2016-03-02,Line,5.60
2016-03-03,Line,13.10
2016-03-04,Line,4.60
2016-03-05,Line,7.30
2016-03-06,Line,8.00
2016-03-07,Line,8.00
2016-03-08,Line,5.60
2016-03-09,Line,5.10
2016-03-10,Line,12.30
2016-03-11,Line,7.30
2016-03-12,Line,8.80
2016-03-13,Line,3.90
2016-03-14,Line,6.30
2016-03-15,Line,14.40
2016-03-16,Line,5.60
2016-03-01,Elevator,7.68
2016-03-02,Elevator,1.87
2016-03-03,Elevator,8.35
2016-03-04,Elevator,1.54
2016-03-05,Elevator,2.43
2016-03-06,Elevator,2.68
2016-03-07,Elevator,2.68
2016-03-08,Elevator,1.87
2016-03-09,Elevator,1.70
2016-03-10,Elevator,2.11
2016-03-11,Elevator,2.43
2016-03-12,Elevator,2.92
2016-03-13,Elevator,1.30
2016-03-14,Elevator,2.11
2016-03-15,Elevator,1.78
2016-03-16,Elevator,2.35
2016-03-01,Sweep-1,2.68
2016-03-02,Sweep-1,1.87
2016-03-03,Sweep-1,7.35
2016-03-04,Sweep-1,1.54
2016-03-05,Sweep-1,2.43
2016-03-06,Sweep-1,4.68
2016-03-07,Sweep-1,2.68
2016-03-08,Sweep-1,1.87
2016-03-09,Sweep-1,1.70
2016-03-10,Sweep-1,6.11
2016-03-11,Sweep-1,2.43
2016-03-12,Sweep-1,2.92
2016-03-13,Sweep-1,1.30
2016-03-14,Sweep-1,2.11
2016-03-15,Sweep-1,1.78
2016-03-16,Sweep-1,2.35
2016-03-01,Sweep-2,2.68
2016-03-02,Sweep-2,1.87
2016-03-03,Sweep-2,2.35
2016-03-04,Sweep-2,1.54
2016-03-05,Sweep-2,2.43
2016-03-06,Sweep-2,2.68
2016-03-07,Sweep-2,2.68
2016-03-08,Sweep-2,1.87
2016-03-09,Sweep-2,1.70
2016-03-10,Sweep-2,2.11
2016-03-11,Sweep-2,2.43
2016-03-12,Sweep-2,2.92
2016-03-13,Sweep-2,1.30
2016-03-14,Sweep-2,7.11
2016-03-15,Sweep-2,1.78
2016-03-16,Sweep-2,2.35
